comment,sentiment,review_rating,author_total_reviews_count
Wrongfully Billed by Telkom Telkom has been invoicing me for services not rendered. i had bought a router and subscribed to them for data.  They gave me services for a couple of months and then they disconnected my router. They have since then invoiced me on that router without services rendered to me. Now they want to ruin my credit score for money i don't owe them.,1,5,4
"Wish you have more employees like Lubabalo Dingani Lubabalo Dingani.  I logged into Hello Peter to complain about the poor service I have received in trying to get my line sorted out with telkom.  AS I was busy typing out the complaint I evenutally got through to Lubabalo.  I immediately asked to speak to a manager but Lubabalo assured me that he can sort out my complaint.  Please note, I have been trying for 6 months to get this sorted out.  I have been sent from pillar to post.  From billing to sales, from sales to billing, back and front for nearly 6 months.  I am now at a point where I finally think we are moving into the right direction.  I also have to give credit to Nokwanda mngona who also helped me into the right direction.  I hope that these 2 people will be used as an example to get your other staff on the same level.  If I could deal with them all the time I would have a pleasure doing business with you. I must however say that this probably equal to maybe 3% of your staff.  Your systems is failing your staff.  Your systems is causing your staff not to be able to work efficiently. Your billing department cant transfer people through to client care, your sale people cannot transfer people to billling.  No one wants to do a conference call between different department in order to sort out the problem.  Lubabalo Dingani motto : 'The bug stops with me"".. this should be the motto of all your staff, taking in consideration that they have proper systems.  your staff clearly (and I exclude the 2 mentioned here) are more interested in telling a 'irrate' client to stop using foul words after been messed around for more than 6 months, than what they are in sorting out the clients complaint.  Although I was really irate at the time I got through to  Lubabalo Dingani He managed to hear me out, calm me down and reassure me that he is going to sort me out. I did not have to shout, scream, ect, not once was anyting to much to ask. He explained very clearly what I can expect going forward and I hope that at LONG last my account will be sorted out.  Wish telkom would change your systems not fail your staff so miserably.",1,5,11
Great Service at Telkom Cresta from Khan I recently decided to get myself a cellphone contract and went to Telkom and there was a man there named Khan who was so helpful and accomodating. He gave us some tips on how to best look after my new phone as well. I just feel like people dont get nearly enough props out there for doing  a great job. I was very impressed,1,5,18
"Refund I bought a WiFi device @ Telkom shop which cost me R2799
I was told to take the device back to the shop within 7 days is am not happy with the operation of a device 
Yes I found that the device were too expensive to use that to buy 
This device cost me R650 for 3 hours of usage 
On 5th day I decided to take the device back to the shop due to misbehaving of it.
When I get to the shop to return the device they told me to wait  for approval if the device need to be returned or not. 
They took my details and promised to call me with didn’t happen.
I went back to the shop to ask em about a call and approval,they told me I still need to wait.
Then I ask then to keep the divide by them they refused for the second time.out of anger, I decided to leave the device by them and walk out the shop. 
My problem is if it’s 7day rule there’s no question to be asked within the period.
All I know is they should look at a device see if there any harm to it test it and see if Iits in working condition. 
So I feel like they don’t wana pay the money back 

I need your help 
It’s zack silver mc dad others know me as hush 
 I bought this device from Telkom shop in cavendish Claremont Cape Town. 
Thank you.",1,5,1
"Telkom the worst ever It's taking Telkom most a month to do my sim swap,a warning to everyone don't even try them",1,5,7
Telkom the worst company Worst company in the world,1,5,7
"Telkom the worst service provider 3 weeks loosing business because Telkom is taking their time to do my sim swap, am loosing R10000  Rands a day,my company is about to shut down,these pple they don't even care",1,5,7
"TELKOM SIM SWAP TAKES 3 WEEKS Am now on the 3rd week trying to do a sim swap from MTN to Telkom ,my hotline is off going on voicemail,am loosing clients everyday,there is no-one to enquire with,and i went in the store they are not even bothered/they are not moved they keep on saying technicians are on it ,no feed back i have to go everyday to the store ,am loosing min 10k a day,my company might close,I REGRET DOING BUSINESS WITH TELKOM",1,5,7
Great service by Lindokuhle Nkangala I am happy to say that telkom services are one of the best i have experienced on my first day with my telkom contract thanks to Lindokuhle Nkangala who really went out of his way to resolve my issue even if it was a phone setting by me not getting my sms coming through. He still looked for the same device and trouble shooted on his device on how to resolve my settings issue. Now that is service that people want!!!! Its people like you who makes telkom go forward from good to great. Thank you for all your patients and assistance. I truelly hope management sees the potential in you and gives you the recognition  that you deserve. Kind Regards Peter,1,5,5
"Amazing service from Telkom mobile branch consultant! I was assisted by a consultant named Larna at the Somerset Mall Telkom mobile branch. My previous experiences with dealing with my phone contract (I was at Vodacom for 14 years before) was similar to going to home affairs. I was pleasantly surprised by the service I got, and this is down to Larna. She hooked me up with 2 phones and 2 contracts; quickly and painlessly. She went beyond what she had to do by recommending ways to get my bank statements and a place to eat lunch while I wait. She even allowed to email all my stuff to her instead of printing them as was the case at Vodacom. I kept changing my mind about the color of phone etc and she was super patient.

This consultant alone is the reason why Telkom has a new customer for life. 2 phone contracts I will always renew as long as I have a consultant like her.",1,5,3
